+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   1.5647   |
| epoch 2  |   1.4083   |
| epoch 3  |   1.3355   |
| epoch 4  |   1.2879   |
| epoch 5  |   1.2577   |
| epoch 6  |   1.2342   |
| epoch 7  |   1.2137   |
| epoch 8  |   1.1853   |
| epoch 9  |   1.1843   |
| epoch 10 |   1.1606   |
| epoch 11 |   1.1466   |
| epoch 12 |   1.1407   |
| epoch 13 |   1.1225   |
| epoch 14 |   1.1203   |
| epoch 15 |   1.1157   |
| epoch 16 |   1.1074   |
| epoch 17 |   1.0988   |
| epoch 18 |   1.0983   |
| epoch 19 |   1.1001   |
| epoch 20 |   1.0835   |
| epoch 21 |   1.0872   |
| epoch 22 |   1.0892   |
| epoch 23 |   1.0893   |
| epoch 24 |   1.0696   |
| epoch 25 |   1.0725   |
| epoch 26 |   1.0734   |
| epoch 27 |   1.0849   |
| epoch 28 |   1.0763   |
| epoch 29 |   1.0591   |
| epoch 30 |   1.0685   |
| epoch 31 |   1.0732   |
| epoch 32 |   1.0600   |
| epoch 33 |   1.0591   |
| epoch 34 |   1.0637   |
| epoch 35 |   1.0470   |
| epoch 36 |   1.0628   |
| epoch 37 |   1.0416   |
| epoch 38 |   1.0390   |
| epoch 39 |   1.0459   |
| epoch 40 |   1.0584   |
| epoch 41 |   1.0447   |
| epoch 42 |   1.0463   |
| epoch 43 |   1.0379   |
| epoch 44 |   1.0476   |
| epoch 45 |   1.0395   |
| epoch 46 |   1.0499   |
| epoch 47 |   1.0481   |
| epoch 48 |   1.0359   |
| epoch 49 |   1.0288   |
| epoch 50 |   1.0366   |
+----------+------------+
