+----------+------------+------------+---------------+---------+
| # Epoch  | Train_loss | Model_loss | epoch_lamb_da | da_loss |
+----------+------------+------------+---------------+---------+
| epoch 1  |   0.6847   |   0.6847   |     0.0000    |  0.0000 |
| epoch 2  |   0.5869   |   0.5869   |     0.0000    |  0.0000 |
| epoch 3  |   0.4975   |   0.4975   |     0.0000    |  0.0000 |
| epoch 4  |   0.4410   |   0.4410   |     0.0000    |  0.0000 |
| epoch 5  |   0.4011   |   0.4011   |     0.0000    |  0.0000 |
| epoch 6  |   0.3729   |   0.3729   |     0.0000    |  0.0000 |
| epoch 7  |   0.3575   |   0.3575   |     0.0000    |  0.0000 |
| epoch 8  |   0.3365   |   0.3365   |     0.0000    |  0.0000 |
| epoch 9  |   0.3269   |   0.3269   |     0.0000    |  0.0000 |
| epoch 10 |   1.6968   |   0.3143   |     1.0000    |  1.3824 |
| epoch 11 |   1.6711   |   0.3106   |     1.0000    |  1.3606 |
| epoch 12 |   1.6485   |   0.3026   |     1.0000    |  1.3459 |
| epoch 13 |   1.6306   |   0.2919   |     1.0000    |  1.3387 |
| epoch 14 |   1.6344   |   0.2890   |     1.0000    |  1.3454 |
| epoch 15 |   1.6390   |   0.2890   |     1.0000    |  1.3500 |
| epoch 16 |   1.6289   |   0.2778   |     1.0000    |  1.3511 |
| epoch 17 |   1.6110   |   0.2683   |     1.0000    |  1.3427 |
| epoch 18 |   1.6100   |   0.2671   |     1.0000    |  1.3430 |
| epoch 19 |   1.6063   |   0.2631   |     1.0000    |  1.3432 |
| epoch 20 |   1.6073   |   0.2627   |     1.0000    |  1.3446 |
| epoch 21 |   1.6026   |   0.2534   |     1.0000    |  1.3492 |
| epoch 22 |   1.5986   |   0.2486   |     1.0000    |  1.3499 |
| epoch 23 |   1.6000   |   0.2480   |     1.0000    |  1.3520 |
| epoch 24 |   1.6006   |   0.2467   |     1.0000    |  1.3539 |
| epoch 25 |   1.5872   |   0.2376   |     1.0000    |  1.3496 |
| epoch 26 |   1.5836   |   0.2331   |     1.0000    |  1.3505 |
| epoch 27 |   1.5817   |   0.2313   |     1.0000    |  1.3503 |
| epoch 28 |   1.5763   |   0.2277   |     1.0000    |  1.3485 |
| epoch 29 |   1.5767   |   0.2284   |     1.0000    |  1.3483 |
| epoch 30 |   1.5751   |   0.2254   |     1.0000    |  1.3497 |
| epoch 31 |   1.5694   |   0.2221   |     1.0000    |  1.3473 |
| epoch 32 |   1.5633   |   0.2157   |     1.0000    |  1.3476 |
| epoch 33 |   1.5730   |   0.2234   |     1.0000    |  1.3496 |
| epoch 34 |   1.5628   |   0.2128   |     1.0000    |  1.3500 |
| epoch 35 |   1.5642   |   0.2158   |     1.0000    |  1.3484 |
| epoch 36 |   1.5615   |   0.2122   |     1.0000    |  1.3493 |
| epoch 37 |   1.5633   |   0.2112   |     1.0000    |  1.3521 |
| epoch 38 |   1.5588   |   0.2074   |     1.0000    |  1.3514 |
| epoch 39 |   1.5596   |   0.2105   |     1.0000    |  1.3491 |
| epoch 40 |   1.5482   |   0.1992   |     1.0000    |  1.3489 |
| epoch 41 |   1.5511   |   0.1999   |     1.0000    |  1.3512 |
| epoch 42 |   1.5472   |   0.1963   |     1.0000    |  1.3510 |
| epoch 43 |   1.5399   |   0.1891   |     1.0000    |  1.3508 |
| epoch 44 |   1.5511   |   0.1965   |     1.0000    |  1.3546 |
| epoch 45 |   1.5460   |   0.1943   |     1.0000    |  1.3516 |
| epoch 46 |   1.5382   |   0.1908   |     1.0000    |  1.3474 |
| epoch 47 |   1.5355   |   0.1875   |     1.0000    |  1.3480 |
| epoch 48 |   1.5335   |   0.1828   |     1.0000    |  1.3507 |
| epoch 49 |   1.5310   |   0.1834   |     1.0000    |  1.3476 |
| epoch 50 |   1.5362   |   0.1873   |     1.0000    |  1.3489 |
+----------+------------+------------+---------------+---------+
