+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   1.5598   |
| epoch 2  |   1.4157   |
| epoch 3  |   1.3207   |
| epoch 4  |   1.2846   |
| epoch 5  |   1.2635   |
| epoch 6  |   1.2311   |
| epoch 7  |   1.2150   |
| epoch 8  |   1.2018   |
| epoch 9  |   1.1850   |
| epoch 10 |   1.1546   |
| epoch 11 |   1.1486   |
| epoch 12 |   1.1418   |
| epoch 13 |   1.1215   |
| epoch 14 |   1.1287   |
| epoch 15 |   1.1135   |
| epoch 16 |   1.1197   |
| epoch 17 |   1.1098   |
| epoch 18 |   1.0961   |
| epoch 19 |   1.1064   |
| epoch 20 |   1.0866   |
| epoch 21 |   1.0789   |
| epoch 22 |   1.0855   |
| epoch 23 |   1.0784   |
| epoch 24 |   1.0718   |
| epoch 25 |   1.0785   |
| epoch 26 |   1.0729   |
| epoch 27 |   1.0753   |
| epoch 28 |   1.0686   |
| epoch 29 |   1.0663   |
| epoch 30 |   1.0557   |
| epoch 31 |   1.0642   |
| epoch 32 |   1.0613   |
| epoch 33 |   1.0607   |
| epoch 34 |   1.0509   |
| epoch 35 |   1.0582   |
| epoch 36 |   1.0454   |
| epoch 37 |   1.0452   |
| epoch 38 |   1.0408   |
| epoch 39 |   1.0471   |
| epoch 40 |   1.0400   |
| epoch 41 |   1.0437   |
| epoch 42 |   1.0417   |
| epoch 43 |   1.0514   |
| epoch 44 |   1.0324   |
| epoch 45 |   1.0413   |
| epoch 46 |   1.0347   |
| epoch 47 |   1.0401   |
| epoch 48 |   1.0338   |
| epoch 49 |   1.0343   |
| epoch 50 |   1.0331   |
+----------+------------+
