+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   1.5484   |
| epoch 2  |   1.4155   |
| epoch 3  |   1.3461   |
| epoch 4  |   1.3065   |
| epoch 5  |   1.2626   |
| epoch 6  |   1.2437   |
| epoch 7  |   1.2191   |
| epoch 8  |   1.1950   |
| epoch 9  |   1.1797   |
| epoch 10 |   1.1651   |
| epoch 11 |   1.1654   |
| epoch 12 |   1.1336   |
| epoch 13 |   1.1348   |
| epoch 14 |   1.1201   |
| epoch 15 |   1.1234   |
| epoch 16 |   1.1076   |
| epoch 17 |   1.1056   |
| epoch 18 |   1.0924   |
| epoch 19 |   1.0912   |
| epoch 20 |   1.0998   |
| epoch 21 |   1.0888   |
| epoch 22 |   1.0817   |
| epoch 23 |   1.0804   |
| epoch 24 |   1.0889   |
| epoch 25 |   1.0699   |
| epoch 26 |   1.0807   |
| epoch 27 |   1.0697   |
| epoch 28 |   1.0646   |
| epoch 29 |   1.0724   |
| epoch 30 |   1.0657   |
| epoch 31 |   1.0685   |
| epoch 32 |   1.0561   |
| epoch 33 |   1.0733   |
| epoch 34 |   1.0572   |
| epoch 35 |   1.0664   |
| epoch 36 |   1.0647   |
| epoch 37 |   1.0626   |
| epoch 38 |   1.0454   |
| epoch 39 |   1.0475   |
| epoch 40 |   1.0581   |
| epoch 41 |   1.0496   |
| epoch 42 |   1.0473   |
| epoch 43 |   1.0376   |
| epoch 44 |   1.0388   |
| epoch 45 |   1.0466   |
| epoch 46 |   1.0468   |
| epoch 47 |   1.0521   |
| epoch 48 |   1.0377   |
| epoch 49 |   1.0372   |
| epoch 50 |   1.0379   |
+----------+------------+
