+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.1941   |
| epoch 2  |   2.1357   |
| epoch 3  |   2.0859   |
| epoch 4  |   2.0438   |
| epoch 5  |   2.0032   |
| epoch 6  |   1.9702   |
| epoch 7  |   1.9383   |
| epoch 8  |   1.9175   |
| epoch 9  |   1.9000   |
| epoch 10 |   1.8828   |
| epoch 11 |   1.8662   |
| epoch 12 |   1.8531   |
| epoch 13 |   1.8375   |
| epoch 14 |   1.8265   |
| epoch 15 |   1.8078   |
| epoch 16 |   1.7992   |
| epoch 17 |   1.7934   |
| epoch 18 |   1.7790   |
| epoch 19 |   1.7681   |
| epoch 20 |   1.7661   |
| epoch 21 |   1.7519   |
| epoch 22 |   1.7363   |
| epoch 23 |   1.7294   |
| epoch 24 |   1.7265   |
| epoch 25 |   1.7137   |
| epoch 26 |   1.7049   |
| epoch 27 |   1.6967   |
| epoch 28 |   1.6823   |
| epoch 29 |   1.6786   |
| epoch 30 |   1.6764   |
| epoch 31 |   1.6669   |
| epoch 32 |   1.6626   |
| epoch 33 |   1.6532   |
| epoch 34 |   1.6507   |
| epoch 35 |   1.6371   |
| epoch 36 |   1.6378   |
| epoch 37 |   1.6257   |
| epoch 38 |   1.6242   |
| epoch 39 |   1.6252   |
| epoch 40 |   1.6169   |
| epoch 41 |   1.6076   |
| epoch 42 |   1.6084   |
| epoch 43 |   1.6066   |
| epoch 44 |   1.5991   |
| epoch 45 |   1.5959   |
| epoch 46 |   1.5933   |
| epoch 47 |   1.5921   |
| epoch 48 |   1.5825   |
| epoch 49 |   1.5863   |
| epoch 50 |   1.5789   |
+----------+------------+
