+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.8883   |
| epoch 2  |   2.7480   |
| epoch 3  |   2.6849   |
| epoch 4  |   2.6454   |
| epoch 5  |   2.6151   |
| epoch 6  |   2.5904   |
| epoch 7  |   2.5682   |
| epoch 8  |   2.5482   |
| epoch 9  |   2.5371   |
| epoch 10 |   2.5144   |
| epoch 11 |   2.5062   |
| epoch 12 |   2.4947   |
| epoch 13 |   2.4803   |
| epoch 14 |   2.4713   |
| epoch 15 |   2.4658   |
| epoch 16 |   2.4555   |
| epoch 17 |   2.4425   |
| epoch 18 |   2.4373   |
| epoch 19 |   2.4336   |
| epoch 20 |   2.4282   |
| epoch 21 |   2.4204   |
| epoch 22 |   2.4132   |
| epoch 23 |   2.4086   |
| epoch 24 |   2.4081   |
| epoch 25 |   2.4016   |
| epoch 26 |   2.3957   |
| epoch 27 |   2.3937   |
| epoch 28 |   2.3916   |
| epoch 29 |   2.3863   |
| epoch 30 |   2.3822   |
| epoch 31 |   2.3807   |
| epoch 32 |   2.3830   |
| epoch 33 |   2.3750   |
| epoch 34 |   2.3777   |
| epoch 35 |   2.3717   |
| epoch 36 |   2.3724   |
| epoch 37 |   2.3691   |
| epoch 38 |   2.3649   |
| epoch 39 |   2.3609   |
| epoch 40 |   2.3598   |
| epoch 41 |   2.3650   |
| epoch 42 |   2.3584   |
| epoch 43 |   2.3596   |
| epoch 44 |   2.3547   |
| epoch 45 |   2.3533   |
| epoch 46 |   2.3561   |
| epoch 47 |   2.3533   |
| epoch 48 |   2.3527   |
| epoch 49 |   2.3537   |
| epoch 50 |   2.3486   |
+----------+------------+
