+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.6591   |
| epoch 2  |   2.5377   |
| epoch 3  |   2.5099   |
| epoch 4  |   2.4859   |
| epoch 5  |   2.4673   |
| epoch 6  |   2.4533   |
| epoch 7  |   2.4405   |
| epoch 8  |   2.4214   |
| epoch 9  |   2.4044   |
| epoch 10 |   2.3959   |
| epoch 11 |   2.3806   |
| epoch 12 |   2.3681   |
| epoch 13 |   2.3637   |
| epoch 14 |   2.3566   |
| epoch 15 |   2.3427   |
| epoch 16 |   2.3362   |
| epoch 17 |   2.3232   |
| epoch 18 |   2.3138   |
| epoch 19 |   2.3129   |
| epoch 20 |   2.3028   |
| epoch 21 |   2.2931   |
| epoch 22 |   2.2910   |
| epoch 23 |   2.2836   |
| epoch 24 |   2.2823   |
| epoch 25 |   2.2748   |
| epoch 26 |   2.2692   |
| epoch 27 |   2.2646   |
| epoch 28 |   2.2618   |
| epoch 29 |   2.2595   |
| epoch 30 |   2.2493   |
| epoch 31 |   2.2455   |
| epoch 32 |   2.2417   |
| epoch 33 |   2.2429   |
| epoch 34 |   2.2375   |
| epoch 35 |   2.2359   |
| epoch 36 |   2.2329   |
| epoch 37 |   2.2275   |
| epoch 38 |   2.2258   |
| epoch 39 |   2.2244   |
| epoch 40 |   2.2216   |
| epoch 41 |   2.2185   |
| epoch 42 |   2.2143   |
| epoch 43 |   2.2139   |
| epoch 44 |   2.2096   |
| epoch 45 |   2.2062   |
| epoch 46 |   2.2048   |
| epoch 47 |   2.2005   |
| epoch 48 |   2.1998   |
| epoch 49 |   2.2029   |
| epoch 50 |   2.1910   |
+----------+------------+
