+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.7376   |
| epoch 2  |   2.6755   |
| epoch 3  |   2.6235   |
| epoch 4  |   2.5805   |
| epoch 5  |   2.5479   |
| epoch 6  |   2.5155   |
| epoch 7  |   2.4909   |
| epoch 8  |   2.4703   |
| epoch 9  |   2.4511   |
| epoch 10 |   2.4383   |
| epoch 11 |   2.4252   |
| epoch 12 |   2.4089   |
| epoch 13 |   2.3978   |
| epoch 14 |   2.3861   |
| epoch 15 |   2.3764   |
| epoch 16 |   2.3620   |
| epoch 17 |   2.3550   |
| epoch 18 |   2.3431   |
| epoch 19 |   2.3306   |
| epoch 20 |   2.3238   |
| epoch 21 |   2.3127   |
| epoch 22 |   2.3071   |
| epoch 23 |   2.2971   |
| epoch 24 |   2.2848   |
| epoch 25 |   2.2785   |
| epoch 26 |   2.2661   |
| epoch 27 |   2.2610   |
| epoch 28 |   2.2509   |
| epoch 29 |   2.2409   |
| epoch 30 |   2.2428   |
| epoch 31 |   2.2322   |
| epoch 32 |   2.2217   |
| epoch 33 |   2.2151   |
| epoch 34 |   2.2028   |
| epoch 35 |   2.2097   |
| epoch 36 |   2.1999   |
| epoch 37 |   2.1912   |
| epoch 38 |   2.1872   |
| epoch 39 |   2.1857   |
| epoch 40 |   2.1716   |
| epoch 41 |   2.1709   |
| epoch 42 |   2.1679   |
| epoch 43 |   2.1655   |
| epoch 44 |   2.1581   |
| epoch 45 |   2.1589   |
| epoch 46 |   2.1518   |
| epoch 47 |   2.1518   |
| epoch 48 |   2.1479   |
| epoch 49 |   2.1436   |
| epoch 50 |   2.1408   |
+----------+------------+
