+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.2440   |
| epoch 2  |   2.1754   |
| epoch 3  |   2.1290   |
| epoch 4  |   2.0884   |
| epoch 5  |   2.0510   |
| epoch 6  |   2.0221   |
| epoch 7  |   1.9956   |
| epoch 8  |   1.9727   |
| epoch 9  |   1.9532   |
| epoch 10 |   1.9366   |
| epoch 11 |   1.9215   |
| epoch 12 |   1.9118   |
| epoch 13 |   1.8923   |
| epoch 14 |   1.8824   |
| epoch 15 |   1.8715   |
| epoch 16 |   1.8628   |
| epoch 17 |   1.8439   |
| epoch 18 |   1.8392   |
| epoch 19 |   1.8316   |
| epoch 20 |   1.8217   |
| epoch 21 |   1.8062   |
| epoch 22 |   1.7948   |
| epoch 23 |   1.7914   |
| epoch 24 |   1.7821   |
| epoch 25 |   1.7747   |
| epoch 26 |   1.7655   |
| epoch 27 |   1.7605   |
| epoch 28 |   1.7557   |
| epoch 29 |   1.7448   |
| epoch 30 |   1.7424   |
| epoch 31 |   1.7298   |
| epoch 32 |   1.7245   |
| epoch 33 |   1.7177   |
| epoch 34 |   1.7144   |
| epoch 35 |   1.7058   |
| epoch 36 |   1.7021   |
| epoch 37 |   1.6991   |
| epoch 38 |   1.6932   |
| epoch 39 |   1.6895   |
| epoch 40 |   1.6818   |
| epoch 41 |   1.6854   |
| epoch 42 |   1.6818   |
| epoch 43 |   1.6732   |
| epoch 44 |   1.6694   |
| epoch 45 |   1.6644   |
| epoch 46 |   1.6656   |
| epoch 47 |   1.6631   |
| epoch 48 |   1.6618   |
| epoch 49 |   1.6553   |
| epoch 50 |   1.6553   |
+----------+------------+
