+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   3.5059   |
| epoch 2  |   3.3842   |
| epoch 3  |   3.3136   |
| epoch 4  |   3.2670   |
| epoch 5  |   3.2343   |
| epoch 6  |   3.2017   |
| epoch 7  |   3.1746   |
| epoch 8  |   3.1566   |
| epoch 9  |   3.1375   |
| epoch 10 |   3.1202   |
| epoch 11 |   3.1099   |
| epoch 12 |   3.0958   |
| epoch 13 |   3.0836   |
| epoch 14 |   3.0735   |
| epoch 15 |   3.0682   |
| epoch 16 |   3.0531   |
| epoch 17 |   3.0466   |
| epoch 18 |   3.0382   |
| epoch 19 |   3.0278   |
| epoch 20 |   3.0215   |
| epoch 21 |   3.0137   |
| epoch 22 |   3.0088   |
| epoch 23 |   3.0087   |
| epoch 24 |   3.0026   |
| epoch 25 |   2.9948   |
| epoch 26 |   2.9928   |
| epoch 27 |   2.9867   |
| epoch 28 |   2.9858   |
| epoch 29 |   2.9770   |
| epoch 30 |   2.9752   |
| epoch 31 |   2.9763   |
| epoch 32 |   2.9728   |
| epoch 33 |   2.9713   |
| epoch 34 |   2.9639   |
| epoch 35 |   2.9606   |
| epoch 36 |   2.9591   |
| epoch 37 |   2.9584   |
| epoch 38 |   2.9554   |
| epoch 39 |   2.9561   |
| epoch 40 |   2.9495   |
| epoch 41 |   2.9446   |
| epoch 42 |   2.9486   |
| epoch 43 |   2.9484   |
| epoch 44 |   2.9460   |
| epoch 45 |   2.9404   |
| epoch 46 |   2.9395   |
| epoch 47 |   2.9393   |
| epoch 48 |   2.9400   |
| epoch 49 |   2.9378   |
| epoch 50 |   2.9326   |
+----------+------------+
