+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   2.2663   |
| epoch 2  |   2.1922   |
| epoch 3  |   2.1496   |
| epoch 4  |   2.1119   |
| epoch 5  |   2.0713   |
| epoch 6  |   2.0458   |
| epoch 7  |   2.0141   |
| epoch 8  |   1.9909   |
| epoch 9  |   1.9718   |
| epoch 10 |   1.9543   |
| epoch 11 |   1.9393   |
| epoch 12 |   1.9275   |
| epoch 13 |   1.9087   |
| epoch 14 |   1.8973   |
| epoch 15 |   1.8870   |
| epoch 16 |   1.8783   |
| epoch 17 |   1.8584   |
| epoch 18 |   1.8512   |
| epoch 19 |   1.8414   |
| epoch 20 |   1.8352   |
| epoch 21 |   1.8211   |
| epoch 22 |   1.8068   |
| epoch 23 |   1.8012   |
| epoch 24 |   1.7927   |
| epoch 25 |   1.7863   |
| epoch 26 |   1.7759   |
| epoch 27 |   1.7683   |
| epoch 28 |   1.7630   |
| epoch 29 |   1.7508   |
| epoch 30 |   1.7477   |
| epoch 31 |   1.7369   |
| epoch 32 |   1.7332   |
| epoch 33 |   1.7250   |
| epoch 34 |   1.7165   |
| epoch 35 |   1.7088   |
| epoch 36 |   1.7061   |
| epoch 37 |   1.7016   |
| epoch 38 |   1.6985   |
| epoch 39 |   1.6905   |
| epoch 40 |   1.6865   |
| epoch 41 |   1.6818   |
| epoch 42 |   1.6780   |
| epoch 43 |   1.6737   |
| epoch 44 |   1.6701   |
| epoch 45 |   1.6627   |
| epoch 46 |   1.6627   |
| epoch 47 |   1.6621   |
| epoch 48 |   1.6586   |
| epoch 49 |   1.6558   |
| epoch 50 |   1.6553   |
+----------+------------+
